"tit_projeto" "descricao" "autor_situacao"
"68" "PROC. 00482/19 - PLL 217/19" "Denomina Rua Regina Flores de Souza o logradouro público cadastrado conhecido como Rua Quatro – Loteamento dos Ferroviários –, localizado no Bairro Humaitá." "Autor
Ver. Alvoni Medina
Situação
PARA PARECER"
"69" "PROC. 00480/19 - PLL 216/19" "Estabelece espaços reservados para embarque e desembarque de passageiros aos veículos que prestam serviço de transporte motorizado privado e remunerado de passageiros no Município de Porto Alegre nos locais que especifica." "Autor
Ver. Professor Wambert
Situação
PARA PARECER"
"70" "PROC. 00477/19 - PLL 215/19" "Institui campanha permanente de combate à pedofilia e ao abuso e à exploração sexual de crianças e adolescentes." "Autor
Verª. Cláudia Araújo
Situação
PARA PARECER"
"71" "PROC. 00476/19 - PLL 214/19" "Denomina Rua Mirante do Guaíba o logradouro público não cadastrado conhecido como Beco D – Rua São Guilherme, localizado no Bairro Vila São José." "Autor
Ver. Aldacir Oliboni
Situação
PARA PARECER"
"72" "PROC. 00471/19 - PLL 212/19" "DENOMINA RUA MINISTRO RUY ROSADO DE AGUIAR JUNIOR O LOGRADOURO PUBLICO CADASTRADO, CONHECIDO COMO RUA OITO MIL QUARENTA SETE, LOCALIZADO NO BAIRRO CHAPEU DO SOL." "Autor
JOAO CARLOS NEDEL
Situação
P - PARA CONSULTA"
"73" "PROC. 00472/19 - PLL 213/19" "DENOMINA RUA VENUS CATHARINA SOBROZA TONDO O LOGRADOURO PUBLICO CADASTRADO, CONHECIDO COMO RUA OITO MIL QUARENTA CINCO, LOCALIZADO NO BAIRRO CHAPEU DO SOL." "Autor
JOAO CARLOS NEDEL
Situação
P - PARA CONSULTA"
"74" "PROC. 00467/19 - PLL 211/19" "Altera o § 8º do art. 27 da Lei nº 11.582, de 21 de fevereiro de 2014, e alterações posteriores, dispondo sobre a adequação à cor definida como padrão da identidade visual dos veículos que compõem o Serviço Público de Transporte Individual por Táxi no Município de Porto Alegre." "Autor
Ver. José Freitas
Situação
PARA PARECER"
"75" "PROC. 00466/19 - PLL 210/19" "CONCEDE O TITULO DE CIDADA EMERITA DE PORTO ALEGRE A SENHORA RENATA NARCISO DE MEDEIROS." "Autor
Ver. Cláudia Araújo
Situação
P - PARA CONSULTA"
"76" "PROC. 00460/19 - PLL 209/19" "Denomina Rua Dinarte de Oliveira o logradouro não cadastrado conhecido como Rua Onze – Loteamento Liberdade Mário Quintana –, localizado no Bairro Farrapos." "Autor
Ver. Airto Ferronato
Situação
PARA PARECER"
"77" "PROC. 00458/19 - PLL 208/19" "Destina, junto ao Trecho 3 da Orla do Guaíba, espaço para construção de quadra poliesportiva com acessibilidade, adaptada para modalidades paradesportivas e para o lazer de pessoas com deficiência." "Autor
Ver. João Bosco Vaz
Situação
PARA PARECER"
"78" "PROC. 00454/19 - PLL 207/19" "Determina o uso de câmera de vídeo corporal nos uniformes dos agentes de fiscalização de trânsito do Município de Porto Alegre." "Autor
Ver. Professor Wambert
Situação
PARA PARECER"
"79" "PROC. 00450/19 - PLL 206/19" "Proíbe a destinação das vagas de estacionamento em frente a estabelecimentos comerciais para uso exclusivo de seus clientes." "Autor
Ver. Professor Wambert
Situação
PARA PARECER"
"80" "PROC. 00441/19 - PLL 205/19" "Institui o Programa Dia sem Carne, destinado a alertar a população acerca dos riscos do consumo excessivo de carne, no Município de Porto Alegre." "Autor
Ver. Marcelo Sgarbossa
Situação
EM TRAMITACAO"
"81" "PROC. 00505/19 - PLL 224/19" "DISPOE SOBRE A CRIACAO DO ''PROGRAMA MEDICO NAS CRECHES'' DO MUNICIPIO DE PORTO ALEGRE E DA OUTRAS PROVIDENCIAS." "Autor
ENGENHEIRO COMASSETTO
Situação
EM TRAMITACAO"
"82" "PROC. 00502/19 - PLL 223/19" "DENOMINA PRACA JOAO FRANCISCO RAMOS ACOSTA CONHECIDA COMO PRACA OITENTA MIL E QUARENTA E OITO, LOCALIZADA NO BAIRRO CHAPEU DO SOL." "Autor
ENGENHEIRO COMASSETTO
Situação
EM TRAMITACAO"
"83" "PROC. 00501/19 - PLL 222/19" "Altera o caput e inclui § 6º no art. 47 da Lei nº 12.518, de 13 de março de 2019, dispondo sobre a realização de procedimento licitatório para a veiculação de publicidade em elementos e equipamentos do mobiliário urbano do Município de Porto Alegre outorgados mediante autorização." "Autor
Ver. Clàudio Janta
Situação
ORDEM DO DIA"
"84" "PROC. 00499/19 - PLL 221/19" "Inclui a efeméride Dia Internacional das Ataxias no Anexo da Lei nº 10.904, de 31 de maio de 2010 – Calendário de Datas Comemorativas e de Conscientização do Município de Porto Alegre –, e alterações posteriores, no dia 25 de setembro." "Autor
Ver. Paulo Brum
Situação
COM PARECER"
"85" "PROC. 00496/19 - PLL 220/19" "Revoga o art. 16 da Lei nº 4.267, de 7 de janeiro de 1977 – que autoriza o Executivo a constituir a Companhia de Processamento de Dados do Município de Porto Alegre – Procempa –, excluindo a vedação de contratação, por órgãos da Administração Direta e Indireta do Município, de equipamentos ou serviços de informática sem a supervisão técnica da..." "Autor
Ver. Felipe Camozzato
Situação
PARA PARECER"
"86" "PROC. 00486/19 - PLL 219/19" "TORNA OBRIGATORIA A DISPONIBILIZACAO DE INSTRUMENTO DE LUPA PARA A VERIFICACAO DE ROTULOS NOS HIPERMERCADOS, SUPERMERCADOS E CONGENERES NA CIDADE DE PORTO ALEGRE." "Autor
PAULINHO MOTORISTA
Situação
