"tit_projeto" "descricao" "autor_situacao"
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"44" "PROC. 01234/09 - PDL 001/09" "APROVA AS CONTAS DO MUNICIPIO DE PORTO ALEGRE REFERENTES AO EXERCICIO DE 2006." "Autor
COMISSAO DE FINANCAS, ORCAMENTO E TOMADA DE CONTAS
Situação
ARQUIVADO"
"45" "PROC. 06116/08 - PDL 010/08" "Autoriza o prefeito municipal de porto alegre, senhor jose fogaca, a ausentar-se do pais, no dia 29-10-08 ate o dia 13-11-08, para viajar a china." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"46" "PROC. 05890/08 - PDL 009/08" "Concede ao prefeito municipal de porto alegre, senhor jose fogaca, licenca para tratar de assunto de interesse particular, do dia 14 de outubro ate o dia 27 de outubro de 2008." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"47" "PROC. 05882/08 - PDL 008/08" "Aprova as contas do municipio de porto alegre referentes ao exercicio de 2005." "Autor
COMISS ECONOM FINANCAS ORCAM E MERCOSUL
Situação
ARQUIVADO"
"48" "PROC. 05847/08 - PDL 007/08" "Autoriza o prefeito municipal de porto alegre a licenciar-se para tratar de assuntos de interesse particular, do dia 10 de outubro ate o dia 27 de outubro de 2008." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"49" "PROC. 05537/08 - PDL 006/08" "Concede ao prefeito municipal, em exercicio, senhor eliseu santos, licenca para tratar de assunto de interesse particular, das 18h do dia 18 de setembro ate as 19h do dia 21 de setembro de 2008." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"50" "PROC. 05426/08 - PDL 005/08" "Autoriza o prefeito municipal de porto alegre, senhor jose fogaca, a entrar em licenca para tratar de assuntos de interesse particular, conforme dispoe o art. 92, inc. iii, da lei organica do municipio de porto alegre, do dia 8 de setembro ate o dia 5 de outubro de 2008." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
ARQUIVADO"
"51" "PROC. 03114/08 - PDL 004/08" "Cassa a resolucao n. 1991, de 18 de maio de 2006, que concede o premio nao as drogas a comunidade terapeutica cidade de refugio." "Autor
MARGARETE MORAES
Situação
ARQUIVADO ART 108"
"52" "PROC. 02592/08 - PDL 003/08" "Autoriza o prefeito municipal a ausentar-se do estado e do pais, de 20 de abril ate 27 de abril de 2008, para viajar a minas gerais e nova iorque." "Autor
COMISSAO DE CONSTITUICAO E JUSTICA
Situação
